State Name,year,population,PR,at_risk,IR,AF,AC_
Nevada,2011,657704,6.96,611949.1788482178,9.05,24.35% (10.73-32.04%),1348 (594-1774)
Nevada,2012,655360,6.41,613320.2249994474,9.47,30.36% (13.79-39.23%),1764 (801-2279)
Nevada,2013,656208,7.85,604685.146139909,8.37,24.10% (10.63-31.70%),1219 (538-1604)
Nevada,2014,660063,6.75,615494.5381997844,9.75,23.30% (10.26-30.70%),1398 (615-1842)
Nevada,2015,667499,5.78,628942.2181724312,8.17,34.89% (16.22-44.48%),1793 (833-2286)
Nevada,2016,675073,6.48,631361.9233138193,8.95,37.23% (17.73-46.78%),2104 (1002-2644)
Nevada,2017,681535,7.71,628993.8081391759,8.00,38.17% (18.30-47.79%),1922 (921-2406)
Nevada,2018,688242,6.96,640362.7266199614,8.12,36.83% (17.50-46.36%),1914 (909-2409)
Nevada,2019,692639,7.82,638474.2662118956,6.19,34.43% (16.17-43.63%),1361 (639-1724)
New Hampshire,2010,285920,9.04,260072.8360061365,10.51,9.35% (3.92-12.70%),256 (107-347)
New Hampshire,2011,281230,9.04,255806.8119404231,9.05,11.09% (4.67-15.01%),257 (108-348)
New Hampshire,2012,276321,10.38,247650.1891611689,9.47,9.42% (3.95-12.80%),221 (93-300)
New Hampshire,2013,271784,10.50,243259.8679101071,8.37,10.61% (4.46-14.38%),216 (91-293)
New Hampshire,2014,267778,9.59,242085.27560535155,9.75,10.16% (4.26-13.79%),240 (101-325)
New Hampshire,2015,264783,7.20,245715.6147897249,8.17,10.13% (4.25-13.75%),203 (85-276)
New Hampshire,2016,262446,9.04,238720.88527723317,8.95,1.10% (0.45-1.50%),23 (10-32)
New Hampshire,2017,260253,9.04,236726.13244650615,8.00,0.95% (0.39-1.31%),18 (7-25)
New Hampshire,2018,257787,8.49,235913.22701124853,8.12,0.95% (0.39-1.31%),18 (7-25)
New Hampshire,2019,255253,7.24,236776.6575406749,6.19,1.01% (0.41-1.39%),15 (6-20)
New Jersey,2010,2061666,9.01,1875862.2330038692,9.21,23.71% (10.53-31.06%),4097 (1821-5368)
New Jersey,2011,2047429,8.66,1870094.2202975536,7.98,25.04% (11.19-32.70%),3739 (1671-4883)
New Jersey,2012,2028534,8.75,1851021.871158921,9.03,22.55% (9.97-29.64%),3767 (1665-4951)
New Jersey,2013,2011356,8.63,1837694.9951834967,14.08,21.85% (9.64-28.76%),5654 (2494-7442)
New Jersey,2014,1998397,9.39,1810817.4331722676,10.48,23.23% (10.33-30.44%),4409 (1960-5776)
New Jersey,2015,1984003,8.58,1813728.7255271864,9.69,22.73% (10.07-29.84%),3994 (1769-5243)
New Jersey,2016,1971351,8.13,1811097.3114670184,5.31,14.39% (6.47-18.72%),1384 (622-1801)
New Jersey,2017,1963383,8.28,1800801.5939736876,7.81,13.50% (6.03-17.64%),1899 (848-2481)
New Jersey,2018,1951193,7.14,1811864.3495371053,7.76,12.79% (5.69-16.76%),1799 (800-2357)
New Jersey,2019,1938578,8.63,1771200.666800324,9.03,14.13% (6.33-18.41%),2258 (1012-2943)
New Mexico,2010,518510,7.98,477142.1716751053,11.69,15.67% (6.72-20.97%),874 (375-1170)
New Mexico,2011,517281,10.03,465392.0333984326,11.83,16.97% (7.31-22.66%),934 (402-1247)
New Mexico,2012,513397,7.32,475818.771182269,14.02,16.08% (6.93-21.47%),1073 (463-1432)
New Mexico,2013,509220,8.20,467455.2240657859,11.46,14.91% (6.39-19.98%),799 (342-1070)
New Mexico,2014,503746,6.64,470316.8789582406,11.76,14.10% (6.03-18.91%),780 (334-1046)
New Mexico,2015,499114,9.03,454048.79192012665,11.76,14.37% (6.13-19.29%),767 (327-1030)
New Mexico,2016,494726,9.86,445958.6487937928,11.76,8.78% (3.76-11.75%),460 (197-616)
New Mexico,2017,488458,9.29,443093.8227401185,11.76,8.13% (3.47-10.92%),423 (181-569)
New Mexico,2018,481824,7.51,445648.4536325725,11.76,8.40% (3.58-11.28%),440 (188-591)
New Mexico,2019,475838,5.44,449960.7718744438,11.76,8.05% (3.43-10.83%),426 (181-573)
New York,2010,4319802,9.06,3928514.964500296,10.28,26.57% (12.11-34.29%),10734 (4893-13855)
New York,2011,4296117,8.88,3914471.124946836,6.16,28.43% (13.06-36.53%),6856 (3150-8809)
New York,2012,4265208,8.98,3882156.382502629,6.16,24.24% (10.89-31.57%),5798 (2604-7550)
New York,2013,4236806,9.24,3845276.322665384,6.16,23.67% (10.60-30.87%),5607 (2510-7314)
New York,2014,4206551,9.17,3820637.8832931146,6.16,23.40% (10.44-30.58%),5507 (2457-7199)
New York,2015,4181910,8.41,3830204.8845878206,6.12,24.05% (10.75-31.41%),5641 (2521-7366)
New York,2016,4150467,8.03,3816983.240402552,6.14,7.58% (3.38-9.92%),1779 (792-2327)
New York,2017,4113612,7.71,3796338.0248020487,6.18,7.57% (3.37-9.90%),1775 (791-2321)
New York,2018,4070693,7.35,3771620.903724314,6.16,7.52% (3.35-9.82%),1746 (778-2283)
New York,2019,4028299,7.32,3733437.760324994,6.16,7.92% (3.52-10.38%),1822 (809-2388)
North Carolina,2010,2281404,9.06,2074754.7582205927,10.51,11.90% (5.03-16.06%),2593 (1097-3502)
North Carolina,2011,2281547,8.88,2078865.6015907105,9.05,11.01% (4.64-14.91%),2072 (873-2804)
North Carolina,2012,2280156,8.98,2075378.77836243,9.47,10.38% (4.36-14.07%),2040 (858-2766)
North Carolina,2013,2280631,9.24,2069874.4254602825,8.37,10.10% (4.24-13.71%),1750 (734-2374)
North Carolina,2014,2283421,9.17,2073937.716696421,9.75,11.48% (4.88-15.47%),2321 (986-3126)
North Carolina,2015,2287035,8.41,2094691.8102549568,8.17,11.40% (4.85-15.35%),1951 (830-2628)
North Carolina,2016,2294081,8.03,2109755.0538592227,8.95,4.92% (2.13-6.55%),929 (401-1238)
North Carolina,2017,2300721,7.71,2123271.377261782,8.00,4.81% (2.07-6.42%),818 (352-1092)
North Carolina,2018,2301812,7.35,2132698.844064996,8.12,4.63% (1.99-6.20%),802 (345-1073)
North Carolina,2019,2300715,7.32,2132308.514523405,6.19,4.92% (2.12-6.56%),649 (280-866)
North Dakota,2010,150410,9.06,136785.884123969,10.51,10.77% (4.53-14.59%),155 (65-210)
North Dakota,2011,152743,8.88,139174.06416951737,9.05,11.06% (4.65-14.98%),139 (59-189)
North Dakota,2012,157324,8.98,143194.97917120185,9.47,11.32% (4.77-15.32%),154 (65-208)
North Dakota,2013,163430,9.24,148327.18548198897,8.37,10.95% (4.61-14.83%),136 (57-184)
North Dakota,2014,168595,9.17,153127.9292545847,9.75,10.61% (4.46-14.39%),158 (67-215)
North Dakota,2015,174184,8.41,159534.85551268316,8.17,9.27% (3.88-12.60%),121 (51-164)
North Dakota,2016,175390,8.03,161297.67819722544,8.95,2.77% (1.15-3.78%),40 (17-55)
North Dakota,2017,176337,7.71,162736.50949081217,8.00,3.62% (1.50-4.93%),47 (20-64)
North Dakota,2018,178055,7.35,164973.37431553614,8.12,3.52% (1.46-4.81%),47 (20-64)
North Dakota,2019,180171,7.32,166982.94111621668,6.19,3.28% (1.36-4.49%),34 (14-46)
Ohio,2010,2723148,7.75,2512220.3367031487,11.16,17.32% (7.48-23.08%),4857 (2099-6473)
Ohio,2011,2694339,7.75,2485642.8037596284,12.41,16.51% (7.12-22.04%),5093 (2195-6798)
Ohio,2012,2668619,8.54,2440614.6129600247,12.64,16.24% (6.99-21.71%),5011 (2155-6697)
Ohio,2013,2653839,7.75,2448279.823988981,8.36,15.42% (6.60-20.66%),3156 (1352-4230)
Ohio,2014,2642588,7.75,2437900.295954425,11.22,16.78% (7.31-22.26%),4588 (1999-6088)
Ohio,2015,2630983,7.75,2427194.187800392,6.19,16.48% (7.16-21.91%),2477 (1076-3293)
Ohio,2016,2617811,6.84,2438648.023699363,6.17,7.34% (3.27-9.61%),1104 (491-1444)
Ohio,2017,2607996,8.62,2383260.644453845,3.48,7.23% (3.21-9.47%),599 (266-786)
Ohio,2018,2593542,7.75,2392653.2661808166,5.79,6.94% (3.07-9.12%),962 (425-1265)
Ohio,2019,2578019,7.70,2379401.4115355094,5.83,6.54% (2.88-8.62%),907 (399-1196)
Oklahoma,2010,931605,9.99,838519.3730155462,10.51,12.72% (5.40-17.16%),1121 (476-1512)
Oklahoma,2011,936262,9.99,842711.0472982448,9.05,14.45% (6.16-19.42%),1102 (470-1481)
Oklahoma,2012,940827,8.54,860518.4028127377,9.47,13.16% (5.59-17.72%),1072 (455-1445)
Oklahoma,2013,949129,11.01,844640.8410859574,8.37,12.17% (5.15-16.43%),860 (364-1162)
Oklahoma,2014,954831,11.69,843238.9970795001,9.75,10.77% (4.54-14.58%),885 (373-1198)
Oklahoma,2015,961303,9.99,865249.95984131,8.17,14.75% (6.45-19.54%),1043 (456-1381)
Oklahoma,2016,962044,9.79,867838.1099309134,8.95,9.57% (4.25-12.56%),744 (330-976)
Oklahoma,2017,958437,9.99,862670.3295011309,8.00,9.46% (4.18-12.43%),653 (289-858)
Oklahoma,2018,954563,9.99,859183.4181480765,8.12,8.13% (3.55-10.76%),567 (248-750)
Oklahoma,2019,952238,9.99,857090.7312880219,6.19,7.27% (3.15-9.68%),386 (167-513)
Oregon,2010,866026,7.54,800707.6320420528,10.51,12.39% (5.25-16.73%),1043 (442-1407)
Oregon,2011,864686,9.41,783286.8182429231,9.05,12.57% (5.32-16.96%),891 (377-1202)
Oregon,2012,861047,7.31,798135.8438503172,9.47,12.48% (5.28-16.85%),944 (399-1274)
Oregon,2013,857785,8.34,786264.4089447763,8.37,12.98% (5.51-17.51%),854 (362-1152)
Oregon,2014,859997,7.18,798245.0529513988,9.75,13.36% (5.71-17.93%),1039 (444-1395)
Oregon,2015,863265,9.24,783472.8164812642,8.17,14.24% (6.12-19.06%),912 (392-1220)
Oregon,2016,870231,5.55,821975.2616674023,8.95,6.87% (2.99-9.12%),506 (220-671)
Oregon,2017,872372,5.75,822191.582072066,8.00,6.56% (2.85-8.71%),432 (187-573)
Oregon,2018,869075,7.20,806466.9450915433,8.12,7.08% (3.09-9.38%),464 (202-614)
Oregon,2019,866562,6.87,807009.715914492,6.19,5.71% (2.46-7.63%),285 (123-381)
Pennsylvania,2010,2786424,9.51,2521353.640034637,6.45,19.52% (8.58-25.76%),3172 (1394-4187)
Pennsylvania,2011,2763802,9.98,2487978.3741218355,9.62,20.07% (8.78-26.53%),4803 (2102-6351)
Pennsylvania,2012,2740090,10.34,2456675.3768065874,12.56,18.41% (8.01-24.44%),5681 (2471-7541)
Pennsylvania,2013,2718058,10.17,2441733.232938198,14.31,16.76% (7.24-22.33%),5856 (2531-7804)
Pennsylvania,2014,2703263,10.79,2411492.799759418,12.69,17.60% (7.63-23.40%),5386 (2337-7162)
Pennsylvania,2015,2689649,11.14,2389931.61178055,12.81,18.12% (7.88-24.05%),5545 (2413-7360)
Pennsylvania,2016,2675243,8.78,2440425.938175235,12.62,8.09% (3.52-10.73%),2494 (1086-3307)
Pennsylvania,2017,2664275,8.86,2428170.021844732,12.62,8.80% (3.90-11.55%),2698 (1197-3540)
Pennsylvania,2018,2650621,9.72,2393062.105700257,12.62,6.28% (2.69-8.41%),1897 (813-2540)
Pennsylvania,2019,2634613,7.93,2425775.70633362,12.62,7.15% (3.09-9.52%),2189 (947-2915)
Rhode Island,2010,223489,11.67,197402.15492071948,10.51,16.67% (7.15-22.31%),346 (148-463)
Rhode Island,2011,220535,10.04,198402.24856234,9.05,19.72% (8.56-26.20%),354 (154-470)
Rhode Island,2012,217505,10.04,195676.337422866,9.47,16.02% (6.87-21.46%),297 (127-398)
Rhode Island,2013,214806,11.73,189606.5541126548,8.37,16.62% (7.13-22.25%),264 (113-353)
Rhode Island,2014,212397,11.14,188746.2360355152,9.75,27.82% (12.71-35.86%),512 (234-660)
Rhode Island,2015,210593,9.78,189987.70252465623,8.17,29.38% (13.51-37.73%),456 (210-586)
Rhode Island,2016,208982,9.34,189458.7525494023,8.95,23.77% (10.95-30.45%),403 (186-516)
Rhode Island,2017,206851,10.29,185571.2966746457,8.00,21.63% (9.83-27.94%),321 (146-415)
Rhode Island,2018,205982,7.83,189857.1285903686,8.12,19.94% (9.00-25.86%),307 (139-398)
Rhode Island,2019,204495,8.67,186775.16381095012,6.19,20.32% (9.19-26.31%),235 (106-304)
South Carolina,2010,1079475,9.06,981696.3118457644,10.51,10.69% (4.51-14.48%),1103 (465-1494)
South Carolina,2011,1075973,8.88,980388.8580600624,9.05,9.84% (4.13-13.36%),873 (367-1185)
South Carolina,2012,1076267,8.98,979609.1546595048,9.47,9.24% (3.87-12.55%),857 (359-1165)
South Carolina,2013,1077470,9.24,977899.3608350892,8.37,9.30% (3.89-12.63%),761 (319-1034)
South Carolina,2014,1083160,9.17,983789.8386749072,9.75,9.71% (4.08-13.18%),931 (391-1263)
South Carolina,2015,1091515,8.41,999716.8960118402,8.17,8.94% (3.74-12.15%),730 (306-992)
South Carolina,2016,1097808,8.03,1009600.7840033048,8.95,3.09% (1.30-4.18%),279 (118-377)
South Carolina,2017,1103780,7.71,1018647.841608787,8.00,2.97% (1.25-4.01%),242 (102-327)
South Carolina,2018,1107050,7.35,1025715.5038387816,8.12,3.14% (1.32-4.24%),261 (110-353)
South Carolina,2019,1111183,7.32,1029847.2310102124,6.19,3.15% (1.34-4.26%),201 (85-271)
South Dakota,2010,203209,9.06,184802.35840002404,10.51,9.00% (3.76-12.25%),175 (73-238)
South Dakota,2011,204035,8.88,185909.5355127729,9.05,9.73% (4.09-13.21%),164 (69-222)
South Dakota,2012,205548,8.98,187088.0576306361,9.47,10.40% (4.38-14.10%),184 (78-250)
South Dakota,2013,207812,9.24,188607.77745446423,8.37,9.27% (3.88-12.59%),146 (61-199)
South Dakota,2014,209754,9.17,190510.96220449105,9.75,8.19% (3.42-11.15%),152 (64-207)
South Dakota,2015,211280,8.41,193511.02439213527,8.17,7.88% (3.29-10.74%),125 (52-170)
South Dakota,2016,213716,8.03,196544.2419385269,8.95,3.49% (1.46-4.74%),61 (26-83)
South Dakota,2017,215965,7.71,199308.0877648097,8.00,3.39% (1.42-4.60%),54 (23-73)
South Dakota,2018,216422,7.35,200521.5670220829,8.12,3.30% (1.38-4.49%),54 (22-73)
South Dakota,2019,217101,7.32,201209.75905818224,6.19,2.95% (1.23-4.02%),37 (15-50)
Tennessee,2010,1494703,8.98,1360532.6739615814,10.51,13.92% (5.93-18.72%),1991 (848-2677)
Tennessee,2011,1491444,9.53,1349255.7503726184,9.05,14.19% (6.05-19.06%),1732 (739-2327)
Tennessee,2012,1491770,8.15,1370256.8309627622,9.47,12.30% (5.22-16.58%),1596 (678-2151)
Tennessee,2013,1492094,8.42,1366471.9538008922,8.37,11.71% (4.96-15.82%),1340 (567-1809)
Tennessee,2014,1495011,9.68,1350228.9856711326,9.75,13.13% (5.64-17.57%),1729 (743-2312)
Tennessee,2015,1499134,8.98,1364565.9302528473,8.17,12.75% (5.47-17.07%),1422 (610-1903)
Tennessee,2016,1502848,8.98,1367946.5472390263,8.95,6.50% (2.86-8.57%),796 (350-1049)
Tennessee,2017,1506518,8.98,1371287.1138354936,8.00,5.68% (2.49-7.51%),624 (273-825)
Tennessee,2018,1508346,8.98,1372951.0254808182,8.12,5.79% (2.54-7.64%),645 (283-852)
Tennessee,2019,1510051,8.98,1374502.9780821742,6.19,5.69% (2.49-7.52%),484 (212-640)
Texas,2010,6877724,7.56,6357486.474461672,12.11,17.82% (7.73-23.69%),13723 (5955-18241)
Texas,2011,6933718,7.99,6379370.832301373,8.43,17.66% (7.64-23.52%),9497 (4110-12644)
Texas,2012,6990855,7.75,6448838.9921266455,4.99,17.16% (7.42-22.85%),5519 (2388-7351)
Texas,2013,7053173,9.03,6416545.305880349,4.99,15.47% (6.64-20.70%),4954 (2127-6628)
Texas,2014,7141397,7.03,6639356.4782398185,5.64,15.81% (6.81-21.10%),5920 (2552-7901)
Texas,2015,7239541,7.88,6669347.174266697,3.71,15.71% (6.78-20.95%),3883 (1676-5179)
Texas,2016,7315517,7.75,6748329.249736312,2.83,11.18% (4.87-14.83%),2132 (928-2828)
Texas,2017,7361663,7.75,6790897.45121248,4.99,11.14% (4.85-14.78%),3774 (1643-5007)
Texas,2018,7375936,7.75,6804063.834857202,4.99,11.37% (4.96-15.07%),3861 (1684-5116)
Texas,2019,7399810,6.80,6896267.53450272,4.99,12.22% (5.38-16.10%),4206 (1853-5540)
Utah,2010,874022,6.88,813919.5077486868,9.31,23.66% (10.43-31.15%),1793 (790-2361)
Utah,2011,881976,6.74,822536.8413386804,11.30,25.13% (11.15-32.94%),2337 (1037-3063)
Utah,2012,888604,7.08,825682.9540278923,10.82,23.63% (10.44-31.05%),2111 (933-2773)
Utah,2013,897462,6.12,842506.0942926368,7.88,24.39% (10.80-32.00%),1619 (717-2124)
Utah,2014,903815,6.73,842980.6332606854,7.29,22.31% (9.81-29.42%),1371 (602-1807)
Utah,2015,910626,7.09,846018.8103605228,7.67,22.58% (9.92-29.78%),1466 (644-1934)
Utah,2016,920442,5.83,866758.6576741316,8.83,19.24% (8.45-25.39%),1473 (646-1943)
Utah,2017,927108,6.09,870678.6964571029,8.05,18.00% (7.86-23.83%),1261 (551-1670)
Utah,2018,929678,5.48,878762.2944353047,6.37,17.76% (7.77-23.49%),994 (435-1316)
Utah,2019,931184,5.71,878028.1535233479,3.72,21.76% (9.89-28.15%),711 (323-919)
Vermont,2010,128792,9.94,115985.9809300636,10.51,9.89% (4.16-13.39%),121 (51-163)
Vermont,2011,126988,7.95,116891.48277741038,9.05,9.84% (4.13-13.35%),104 (44-141)
Vermont,2012,124886,8.28,114548.35912398616,9.47,8.98% (3.76-12.20%),97 (41-132)
Vermont,2013,123059,11.03,109483.65212152687,8.37,9.09% (3.80-12.36%),83 (35-113)
Vermont,2014,121497,8.10,111656.39568234,9.75,9.56% (4.00-12.99%),104 (44-141)
Vermont,2015,120051,10.32,107662.24392587692,8.17,9.40% (3.94-12.78%),83 (35-112)
Vermont,2016,118191,8.28,108407.54859009857,8.95,3.83% (1.61-5.19%),37 (16-50)
Vermont,2017,116906,7.29,108377.8522984248,8.00,3.92% (1.65-5.31%),34 (14-46)
Vermont,2018,115394,8.77,105278.17498361508,8.12,3.71% (1.56-5.03%),32 (13-43)
Vermont,2019,114005,8.11,104763.44923869924,6.19,3.74% (1.57-5.07%),24 (10-33)
Virginia,2010,1854866,9.06,1686852.5080878255,10.51,15.86% (6.80-21.22%),2810 (1206-3762)
Virginia,2011,1857141,8.88,1692161.74034713,9.05,14.13% (6.02-18.98%),2163 (922-2907)
Virginia,2012,1861917,8.98,1694701.1646888372,9.47,13.29% (5.65-17.89%),2133 (907-2872)
Virginia,2013,1863746,9.24,1691514.4014765648,8.37,12.75% (5.41-17.19%),1806 (766-2434)
Virginia,2014,1864692,9.17,1693623.3260629915,9.75,12.66% (5.37-17.06%),2090 (887-2816)
Virginia,2015,1867059,8.41,1710036.4430639711,8.17,12.81% (5.44-17.25%),1789 (760-2410)
Virginia,2016,1869028,8.03,1718854.420922537,8.95,7.92% (3.46-10.48%),1218 (532-1613)
Virginia,2017,1870586,7.71,1726311.757273745,8.00,7.41% (3.23-9.82%),1025 (447-1358)
Virginia,2018,1866014,7.35,1728918.7391538057,8.12,6.93% (3.02-9.20%),973 (424-1290)
Virginia,2019,1860848,7.32,1724638.659996501,6.19,7.44% (3.26-9.84%),794 (348-1050)
Washington,2010,1582798,6.01,1487608.5226420723,5.26,13.82% (5.87-18.60%),1082 (460-1456)
Washington,2011,1586247,7.06,1474236.1241083925,4.82,13.58% (5.77-18.29%),965 (410-1300)
Washington,2012,1588481,6.66,1482649.907407696,4.71,14.17% (6.03-19.07%),989 (421-1331)
Washington,2013,1593352,6.84,1484326.9221178333,5.42,15.69% (6.76-20.96%),1263 (544-1687)
Washington,2014,1601779,6.51,1497574.4028191743,4.97,19.75% (8.88-25.72%),1470 (661-1915)
Washington,2015,1614222,6.75,1505222.4148206834,4.97,19.99% (9.01-26.02%),1496 (674-1946)
Washington,2016,1632853,7.29,1513891.840137252,4.97,14.45% (6.65-18.52%),1087 (500-1393)
Washington,2017,1650916,6.75,1539438.6696415383,4.97,14.27% (6.53-18.36%),1092 (500-1404)
Washington,2018,1658124,6.75,1546159.952814502,4.97,14.06% (6.43-18.10%),1081 (494-1391)
Washington,2019,1663061,6.75,1550763.5841997573,4.97,12.63% (5.72-16.36%),974 (441-1261)
West Virginia,2010,387242,6.54,361920.34068879584,10.51,11.43% (4.81-15.48%),435 (183-589)
West Virginia,2011,385564,7.63,356149.8869138881,9.05,10.58% (4.44-14.36%),341 (143-463)
West Virginia,2012,384390,7.76,354560.9114892072,9.47,10.89% (4.58-14.77%),366 (154-496)
West Virginia,2013,382333,8.64,349290.1643346783,8.37,9.78% (4.10-13.30%),286 (120-389)
West Virginia,2014,380695,9.37,345027.0877829813,9.75,10.41% (4.37-14.12%),350 (147-475)
West Virginia,2015,378115,7.76,348772.8584191617,8.17,9.83% (4.12-13.35%),280 (117-380)
Wisconsin,2010,1336986,8.88,1218226.3822813632,10.51,14.60% (6.24-19.58%),1869 (799-2507)
Wisconsin,2011,1326327,7.62,1225223.3321624217,9.05,14.54% (6.21-19.52%),1612 (689-2164)
Wisconsin,2012,1316736,7.66,1215938.445167961,9.47,13.92% (5.93-18.72%),1603 (683-2156)
Wisconsin,2013,1308817,7.73,1207650.5676003732,8.37,13.34% (5.67-17.96%),1348 (573-1816)
Wisconsin,2014,1302073,10.14,1170005.6717409526,9.75,14.30% (6.16-19.10%),1631 (703-2179)
Wisconsin,2015,1295105,7.31,1200464.0482438935,8.17,13.32% (5.72-17.83%),1306 (561-1749)
Wisconsin,2016,1288309,8.27,1181714.5317439665,8.95,4.88% (2.17-6.39%),516 (229-676)
Wisconsin,2017,1283205,7.39,1188398.5912213875,8.00,4.76% (2.11-6.24%),452 (200-593)
Wisconsin,2018,1275040,8.42,1167723.047127938,8.12,4.61% (2.04-6.06%),437 (193-574)
Wisconsin,2019,1266597,4.11,1214573.209193245,6.19,4.42% (1.95-5.83%),333 (146-438)
Wyoming,2010,135486,9.06,123213.69786862616,10.51,12.07% (5.10-16.32%),156 (66-211)
Wyoming,2011,135369,8.88,123343.48475912742,9.05,10.99% (4.62-14.88%),123 (52-166)
Wyoming,2012,136386,8.98,124137.38799702228,9.47,11.22% (4.73-15.20%),132 (56-179)
Wyoming,2013,137672,9.24,124949.52138332244,8.37,10.89% (4.59-14.75%),114 (48-154)
Wyoming,2014,138368,9.17,125673.9838969031,9.75,9.88% (4.15-13.40%),121 (51-164)
Wyoming,2015,139549,8.41,127812.71271723825,8.17,10.32% (4.34-14.00%),108 (45-146)
Wyoming,2016,138740,8.03,127592.45038533014,8.95,6.23% (2.61-8.45%),71 (30-96)
Wyoming,2017,136206,7.71,125700.72651630438,8.00,7.05% (2.96-9.56%),71 (30-96)
Wyoming,2018,134539,7.35,124654.47646535012,8.12,7.05% (2.96-9.57%),71 (30-97)
Wyoming,2019,133734,7.32,123945.01139049082,6.19,6.05% (2.58-8.14%),46 (20-62)
